player_id,name,position,team,opponent,salary,projection,ceiling,floor,ownership,confidence,matchup_rating,matchup_label,fantasy_points_allowed,game_total,team_implied_total,opponent_implied_total,team_spread,moneyline,is_home,commence_time,usage_games,passing_attempts,carries,targets,receptions,passing_yards,rushing_yards,receiving_yards,recent_fantasy_points,usage_opportunity,usage_adjustment,matchup_adjustment,vegas_adjustment,home_adjustment,spread_adjustment,locked,excluded,value,leverage
1,Josh Allen,QB,BUF,MIA,8000,25.4,36.07,14.73,18.6,86.3,53,Neutral,18.36,50.5,27.5,23.0,-4.5,-220,False,2026-09-13T17:00:00Z,3,34,5,0,0,244.8,22.0,0.0,23.0,41.5,-0.8,0.11,0.9,0.0,0.14,False,False,3.175,1.939
2,Jalen Hurts,QB,PHI,DAL,7800,24.1,34.22,13.98,18.6,83.3,50,Neutral,18.0,51.0,25.0,26.0,1.0,170,True,2026-09-13T17:00:00Z,3,35,6,0,0,252.0,26.4,0.0,22.9,44.0,-0.38,0.0,0.45,0.2,-0.03,False,False,3.09,1.84
3,Brock Purdy,QB,SF,LAR,6500,20.2,28.68,11.72,16.4,78.2,55,Neutral,18.6,47.5,27.0,20.5,-6.5,-220,False,2026-09-13T17:00:00Z,3,36,7,0,0,259.2,30.8,0.0,20.2,46.5,0.05,0.18,0.81,0.0,0.2,False,False,3.108,1.749
4,Christian McCaffrey,RB,SF,LAR,9000,23.5,33.37,13.63,24.3,78.8,58,Neutral,18.96,47.5,27.0,20.5,-6.5,-220,True,2026-09-13T17:00:00Z,3,0,17,6,5,0.0,74.8,56.0,24.7,37.5,0.73,0.29,0.81,0.2,0.2,False,False,2.611,1.373
5,Breece Hall,RB,NYJ,NE,7600,19.8,28.12,11.48,22.3,81.8,48,Neutral,17.76,40.0,22.0,18.0,-4.0,-220,False,2026-09-13T17:00:00Z,3,0,18,3,2,0.0,79.2,22.4,22.2,33.0,1.06,-0.07,-0.09,0.0,0.12,False,False,2.605,1.261
6,James Cook,RB,BUF,MIA,6800,18.4,26.13,10.67,16.7,78.7,68,Favorable,20.16,50.5,27.5,23.0,-4.5,-220,True,2026-09-13T17:00:00Z,3,0,19,4,3,0.0,83.6,33.6,16.0,36.5,-0.58,0.65,0.9,0.2,0.14,False,False,2.706,1.565
7,Isiah Pacheco,RB,KC,LV,6500,17.2,24.42,9.98,16.8,75.8,73,Favorable,20.76,48.5,28.0,20.5,-7.5,-220,False,2026-09-13T17:00:00Z,3,0,20,5,4,0.0,88.0,44.8,16.0,40.0,-0.12,0.83,0.99,0.0,0.22,False,False,2.646,1.454
8,Value Running Back,RB,ARI,SEA,4800,13.1,18.6,7.6,14.4,70.5,51,Neutral,18.12,46.0,21.5,24.5,3.0,170,True,2026-09-13T17:00:00Z,3,0,21,6,5,0.0,92.4,56.0,13.1,43.5,0.34,0.04,-0.18,0.2,-0.09,False,False,2.729,1.292
9,Justin Jefferson,WR,MIN,GB,8800,22.8,32.38,13.22,21.7,84.2,49,Neutral,17.88,49.0,24.0,25.0,1.0,170,False,2026-09-13T17:00:00Z,3,0,0,8,6,0.0,0.0,67.2,24.0,16.0,0.66,-0.04,0.27,0.0,-0.03,False,False,2.591,1.492
10,CeeDee Lamb,WR,DAL,PHI,8500,22.1,31.38,12.82,22.2,81.7,51,Neutral,18.12,51.0,26.0,25.0,-1.0,-220,True,2026-09-13T17:00:00Z,3,0,1,9,7,0.0,4.4,78.4,24.5,19.5,1.12,0.04,0.63,0.2,0.03,False,False,2.6,1.414
